Inv_Year_ID,Province_ID,EF_Category_ID,EF_Category_Name,Population_EF_Category,Population,CH4_Emissions_EF_Category_GgYear,CH4_Emissions_MM_Category,EF_MT_CO2e,MM_MTCO2e,
2005,NL,6,Horse,0.2864,0.2864,0.0051552,0.000728586,0.000144346,2.04004E-05,
2005,NL,7,Llama and alpaca,0.024,0.024,0.000192,8.0023E-06,0.000005376,2.24064E-07,
2005,NL,8,Swine,2.275,2.275,0.0034125,0.008759124,0.00009555,0.000245255,
2005,NL,9,Poultry,1606.996641,1606.996641,0,0.077274495,0,0.002163686,
2005,NL,11,Mules and Asses,0.004963448,0.004963448,4.96345E-05,3.77222E-06,1.38977E-06,1.05622E-07,
2005,NL,12,Deer,0,0,0,0,0,0,
2005,NL,13,Elk,0,0,0,0,0,0,
2005,NL,14,Wild boars,0,0,0,0,0,0,
2005,NL,15,Rabbit,0.002392352,0.002392352,0,1.91388E-07,0,5.35887E-09,
2005,NL,16,Mink,1.311005818,1.311005818,0,0.000891484,0,2.49616E-05,
2005,NL,17,Fox,0.87,0.87,0,0.0005916,0,1.65648E-05,
2005,NS,1,Dairy Cattle,22.75,22.75,2.596388955,0.579532873,0.072698891,0.01622692,
2005,NS,2,Non-Dairy Cattle,82,82,5.387629204,0.480768307,0.150853618,0.013461513,
2005,NS,3,Sheep and Lamb,22.3,22.3,0.1784,0.009816121,0.0049952,0.000274851,
2005,NS,4,Goat,2.099,2.099,0.010495,0.000663033,0.00029386,1.85649E-05,
2005,NS,5,Buffalo,0.088666667,0.088666667,0.004876667,0.000352387,0.000136547,9.86684E-06,
2005,NS,6,Horse,3.5658,3.5658,0.0641844,0.009287184,0.001797163,0.000260041,
2005,NS,7,Llama and alpaca,0.373,0.373,0.002984,0.000190253,0.000083552,5.32708E-06,
2005,NS,8,Swine,101.625,101.625,0.1524375,0.45553743,0.00426825,0.012755048,
2005,NS,9,Poultry,4419.9568,4419.9568,0,0.332951093,0,0.009322631,
2005,NS,11,Mules and Asses,0.1524,0.1524,0.001524,0.000115824,0.000042672,3.24307E-06,
2005,NS,12,Deer,0.24,0.24,0.0048,0.0000528,0.0001344,1.4784E-06,
2005,NS,13,Elk,0.0334,0.0334,0.000668,0.000007348,0.000018704,2.05744E-07,
2005,NS,14,Wild boars,0.2114,0.2114,0.0003171,0.000119112,8.8788E-06,3.33513E-06,
2005,NS,15,Rabbit,0.073564818,0.073564818,0,5.88519E-06,0,1.64785E-07,
2005,NS,16,Mink,205.7,205.7,0,0.139876,0,0.003916528,
2005,NS,17,Fox,0.64,0.64,0,0.0004352,0,1.21856E-05,
2005,ON,1,Dairy Cattle,345.4,345.4,45.494935,9.043732362,1.27385818,0.253224506,
2005,ON,2,Non-Dairy Cattle,1757.65,1757.65,109.4442347,8.112521145,3.064438572,0.227150592,
2005,ON,3,Sheep and Lamb,287.5,287.5,2.3,0.083517167,0.0644,0.002338481,
2005,ON,4,Goat,73.3532,73.3532,0.366766,0.023170834,0.010269448,0.000648783,
2005,ON,5,Buffalo,4.0358,4.0358,0.221969,0.012796813,0.006215132,0.000358311,
2005,ON,6,Horse,94.4954,94.4954,1.7009172,0.246114799,0.047625682,0.006891214,
2005,ON,7,Llama and alpaca,3.9764,3.9764,0.0318112,0.001325848,0.000890714,3.71237E-05,
2005,ON,8,Swine,3967.475,3967.475,5.9512125,19.93178617,0.16663395,0.558090013,
2005,ON,9,Poultry,47531.7202,47531.7202,0,1.60454395,0,0.044927231,
2005,ON,11,Mules and Asses,2.4952,2.4952,0.024952,0.001896352,0.000698656,5.30979E-05,
2005,ON,12,Deer,9.3176,9.3176,0.186352,0.002049872,0.005217856,5.73964E-05,
2005,ON,13,Elk,4.0204,4.0204,0.080408,0.000884488,0.002251424,2.47657E-05,
2005,ON,14,Wild boars,1.1046,1.1046,0.0016569,0.000622379,4.63932E-05,1.74266E-05,
2005,ON,15,Rabbit,10.93837859,10.93837859,0,0.00087507,0,2.4502E-05,
2005,ON,16,Mink,83.2,83.2,0,0.056576,0,0.001584128,
2005,ON,17,Fox,0.42,0.42,0,0.0002856,0,7.9968E-06,
2005,PE,1,Dairy Cattle,13.45,13.45,1.618212094,0.224581768,0.045309939,0.00628829,
2005,PE,2,Non-Dairy Cattle,71.55,71.55,3.470202661,0.187300223,0.097165674,0.005244406,
2005,PE,3,Sheep and Lamb,3.45,3.45,0.0276,0.000979128,0.0007728,2.74156E-05,
2005,PE,4,Goat,0.248,0.248,0.00124,7.83383E-05,0.00003472,2.19347E-06,
2005,PE,5,Buffalo,0.088666667,0.088666667,0.004876667,0.000203545,0.000136547,5.69926E-06,
2005,PE,6,Horse,1.8498,1.8498,0.0332964,0.004817834,0.000932299,0.000134899,
2005,PE,7,Llama and alpaca,0.1326,0.1326,0.0010608,4.42127E-05,2.97024E-05,1.23796E-06,
2005,PE,8,Swine,124.75,124.75,0.187125,0.506340746,0.0052395,0.014177541,
2005,PE,9,Poultry,434.2387593,434.2387593,0,0.01165738,0,0.000326407,
2005,PE,11,Mules and Asses,0.043236552,0.043236552,0.000432366,3.28598E-05,1.21062E-05,9.20074E-07,
2005,PE,12,Deer,0,0,0,0,0,0,
2005,PE,13,Elk,0.0334,0.0334,0.000668,0.000007348,0.000018704,2.05744E-07,
2005,PE,14,Wild boars,0,0,0,0,0,0,
2005,PE,15,Rabbit,0.022363289,0.022363289,0,1.78906E-06,0,5.00938E-08,
2005,PE,16,Mink,11.6,11.6,0,0.007888,0,0.000220864,
2005,PE,17,Fox,0.75,0.75,0,0.00051,0,0.00001428,
2005,QC,1,Dairy Cattle,390.5,390.5,45.93512012,9.605896882,1.286183363,0.268965113,
2005,QC,2,Non-Dairy Cattle,1044.5,1044.5,69.46246954,8.404590811,1.944949147,0.235328543,
2005,QC,3,Sheep and Lamb,274.75,274.75,2.198,0.079076113,0.061544,0.002214131,
2005,QC,4,Goat,30.1634,30.1634,0.150817,0.009528025,0.004222876,0.000266785,
2005,QC,5,Buffalo,4.296,4.296,0.23628,0.020340335,0.00661584,0.000569529,
2005,QC,6,Horse,25.6744,25.6744,0.4621392,0.063759186,0.012939898,0.001785257,
2005,QC,7,Llama and alpaca,0.676,0.676,0.005408,0.000225398,0.000151424,6.31115E-06,
2005,QC,8,Swine,4342.75,4342.75,6.514125,21.26385218,0.1823955,0.595387861,
2005,QC,9,Poultry,30430.2744,30430.2744,0,1.984233004,0,0.055558524,
2005,QC,11,Mules and Asses,0.3672,0.3672,0.003672,0.000279072,0.000102816,7.81402E-06,
2005,QC,12,Deer,14.5298,14.5298,0.290596,0.003196556,0.008136688,8.95036E-05,
2005,QC,13,Elk,3.7498,3.7498,0.074996,0.000824956,0.002099888,2.30988E-05,
2005,QC,14,Wild boars,2.4248,2.4248,0.0036372,0.001366237,0.000101842,3.82546E-05,
2005,QC,15,Rabbit,13.14787151,13.14787151,0,0.00105183,0,2.94512E-05,
2005,QC,16,Mink,13.4,13.4,0,0.009112,0,0.000255136,
2005,QC,17,Fox,1.16,1.16,0,0.0007888,0,2.20864E-05,
2005,SK,1,Dairy Cattle,30.25,30.25,4.105967084,0.588563166,0.114967078,0.016479769,
2005,SK,2,Non-Dairy Cattle,3302.25,3302.25,232.3697818,8.030517159,6.506353891,0.22485448,
2005,SK,3,Sheep and Lamb,136,136,1.088,0.036899798,0.030464,0.001033194,
2005,SK,4,Goat,12.5938,12.5938,0.062969,0.003978134,0.001763132,0.000111388,
2005,SK,5,Buffalo,52.8722,52.8722,2.907971,0.113788544,0.081423188,0.003186079,
2005,SK,6,Horse,66.9924,66.9924,1.2058632,0.17854053,0.03376417,0.004999135,
